,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
739457,NY,36061,New York,Fuel Comb - Comm/Institutional - Natural Gas,Ammonia,CAP,20.98659905,TON
745939,NY,36055,Monroe,Fuel Comb - Residential - Other,Ammonia,CAP,0.0,TON
746431,NY,36093,Schenectady,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,0.280198735,TON
749506,NY,36113,Warren,Commercial Cooking,Carbon Monoxide,CAP,15.7152948,TON
750184,NY,36113,Warren,Fuel Comb - Comm/Institutional - Natural Gas,Ammonia,CAP,0.24604720000000002,TON
750185,NY,36113,Warren,Fuel Comb - Comm/Institutional - Natural Gas,Sulfur Dioxide,CAP,0.3012823,TON
751271,NY,36027,Dutchess,Fuel Comb - Comm/Institutional - Other,PM10 Primary (Filt + Cond),CAP,0.02269809,TON
752763,NY,36035,Fulton,Fuel Comb - Comm/Institutional - Natural Gas,Sulfur Dioxide,CAP,0.1302845,TON
753333,NY,36021,Columbia,Fuel Comb - Comm/Institutional - Coal,Nitrogen Oxides,CAP,0.0,TON
755031,NY,36113,Warren,Fuel Comb - Residential - Natural Gas,PM10 Primary (Filt + Cond),CAP,5.2973300000000005,TON
757713,NY,36049,Lewis,Fuel Comb - Residential - Wood,Volatile Organic Compounds,CAP,88.17644811,TON
760055,NY,36033,Franklin,Fuel Comb - Residential - Other,Sulfur Dioxide,CAP,2.8465355,TON
761622,NY,36001,Albany,Fuel Comb - Residential - Other,Volatile Organic Compounds,CAP,0.37753885,TON
765611,NY,36111,Ulster,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,5.52439,TON
766105,NY,36055,Monroe,Fuel Comb - Residential - Oil,Carbon Monoxide,CAP,9.03438345,TON
766293,NY,36121,Wyoming,Fuel Comb - Comm/Institutional - Coal,PM10 Primary (Filt + Cond),CAP,0.0,TON
768262,NY,36045,Jefferson,Fuel Comb - Comm/Institutional - Other,Carbon Monoxide,CAP,1.23434475,TON
768619,NY,36037,Genesee,Fuel Comb - Residential - Natural Gas,Sulfur Dioxide,CAP,0.46543865,TON
769375,NY,36119,Westchester,Fuel Comb - Comm/Institutional - Coal,Ammonia,CAP,0.0,TON
770167,NY,36019,Clinton,Fuel Comb - Residential - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,1.253665,TON
770803,NY,36099,Seneca,Fuel Comb - Comm/Institutional - Natural Gas,Volatile Organic Compounds,CAP,0.7257809000000001,TON
771649,NY,36049,Lewis,Fuel Comb - Comm/Institutional - Biomass,Nitrogen Oxides,CAP,0.14039010000000002,TON
771940,NY,36017,Chenango,Fuel Comb - Comm/Institutional - Coal,Volatile Organic Compounds,CAP,0.0,TON
775229,NY,36121,Wyoming,Fuel Comb - Residential - Wood,Nitrogen Oxides,CAP,6.29287278,TON
775573,NY,36035,Fulton,Fuel Comb - Residential - Other,PM2.5 Primary (Filt + Cond),CAP,0.34882405,TON
777659,NY,36115,Washington,Fuel Comb - Residential - Wood,Volatile Organic Compounds,CAP,100.49105426,TON
777841,NY,36029,Erie,Fuel Comb - Residential - Other,PM2.5 Primary (Filt + Cond),CAP,1.4093084999999999,TON
777842,NY,36117,Wayne,Fuel Comb - Residential - Oil,Ammonia,CAP,0.77089847,TON
779089,NY,36071,Orange,Fuel Comb - Comm/Institutional - Other,Volatile Organic Compounds,CAP,1.3694158,TON
779342,NY,36083,Rensselaer,Fuel Comb - Residential - Other,Nitrogen Oxides,CAP,28.980204999999998,TON
785813,NY,36107,Tioga,Commercial Cooking,Carbon Monoxide,CAP,4.189798000000001,TON
786748,NY,36091,Saratoga,Commercial Cooking,Volatile Organic Compounds,CAP,11.90492802,TON
787570,NY,36029,Erie,Fuel Comb - Residential - Oil,Nitrogen Oxides,CAP,32.7280505,TON
788817,NY,36119,Westchester,Fuel Comb - Comm/Institutional - Coal,PM10 Primary (Filt + Cond),CAP,0.0,TON
788863,NY,36069,Ontario,Fuel Comb - Residential - Oil,Ammonia,CAP,0.69412967,TON
788928,NY,36111,Ulster,Fuel Comb - Comm/Institutional - Natural Gas,Volatile Organic Compounds,CAP,4.1632489999999995,TON
