,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
3915972,CA,6039,Madera,Fuel Comb - Residential - Other,Sulfur Dioxide,CAP,0.0,TON
3916027,CA,6087,Santa Cruz,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,4.347534,TON
3916978,CA,6009,Calaveras,Fuel Comb - Comm/Institutional - Coal,Nitrogen Oxides,CAP,0.0,TON
3917010,CA,6059,Orange,Fuel Comb - Residential - Natural Gas,Volatile Organic Compounds,CAP,76.45625,TON
3917363,CA,6093,Siskiyou,Fuel Comb - Residential - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.0,TON
3919179,CA,6065,Riverside,Fuel Comb - Comm/Institutional - Oil,Nitrogen Oxides,CAP,31.92777941,TON
3919262,CA,6035,Lassen,Fuel Comb - Comm/Institutional - Oil,Sulfur Dioxide,CAP,23.9806732,TON
3919379,CA,6085,Santa Clara,Fuel Comb - Residential - Oil,Carbon Monoxide,CAP,1.1409336,TON
3921072,CA,6077,San Joaquin,Commercial Cooking,Carbon Monoxide,CAP,0.0,TON
3923075,CA,6039,Madera,Fuel Comb - Comm/Institutional - Other,Carbon Monoxide,CAP,0.91809257,TON
3930623,CA,6075,San Francisco,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,150.2286,TON
3932992,CA,6093,Siskiyou,Fuel Comb - Comm/Institutional - Oil,Sulfur Dioxide,CAP,0.2919016,TON
3934921,CA,6015,Del Norte,Fuel Comb - Comm/Institutional - Other,Volatile Organic Compounds,CAP,0.0,TON
3937124,CA,6019,Fresno,Fuel Comb - Residential - Oil,Ammonia,CAP,0.01723846,TON
3937723,CA,6067,Sacramento,Fuel Comb - Comm/Institutional - Oil,Nitrogen Oxides,CAP,32.17472309,TON
3938021,CA,6107,Tulare,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,6.0623631473346995,TON
3938277,CA,6005,Amador,Fuel Comb - Residential - Wood,Carbon Monoxide,CAP,917.19840001,TON
3940084,CA,6085,Santa Clara,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,5.553994,TON
3940328,CA,6059,Orange,Fuel Comb - Comm/Institutional - Oil,PM2.5 Primary (Filt + Cond),CAP,13.493408480731,TON
3942352,CA,6029,Kern,Fuel Comb - Comm/Institutional - Coal,PM10 Primary (Filt + Cond),CAP,0.0,TON
3943102,CA,6109,Tuolumne,Fuel Comb - Residential - Wood,Ammonia,CAP,11.908075764000001,TON
3943290,CA,6005,Amador,Fuel Comb - Comm/Institutional - Oil,PM2.5 Primary (Filt + Cond),CAP,0.15103202,TON
